meter,district,buildYear,rooms,price,elevator,space,parking,floor,averageDistrictValue,test
80,gisha,1403,2,18500000000,1,1,1,2,152894816.1349136,12231585290.793087
120,gisha,1395,2,19700000000,1,1,1,2,152894816.1349136,18347377936.189632
120,gisha,1395,2,19000000000,1,1,1,2,152894816.1349136,18347377936.189632
96,gisha,1395,3,17000000000,1,1,1,4,152894816.1349136,14677902348.951706
70,gisha,1395,2,13000000000,1,1,1,3,152894816.1349136,10702637129.44395
112,gisha,1402,3,17000000000,1,1,1,4,152894816.1349136,17124219407.110323
147,gisha,1394,3,22000000000,1,1,1,5,152894816.1349136,22475537971.8323
82,gisha,1393,2,12700000000,1,1,1,2,152894816.1349136,12537374923.062914
150,sattarkhan,1403,2,16700000000,1,1,1,4,101355096.03907533,15203264405.8613
82,sattarkhan,1396,2,8050000000,1,1,1,5,101355096.03907533,8311117875.204177
60,sattarkhan,1394,1,6600000000,1,1,0,3,101355096.03907533,6081305762.34452
78,sattarkhan,1371,2,5650000000,0,1,1,1,101355096.03907533,7905697491.047875
72,sattarkhan,1380,2,5000000000,1,0,0,5,101355096.03907533,7297566914.813424
120,sattarkhan,1396,3,15000000000,1,1,1,4,101355096.03907533,12162611524.68904
95,sattarkhan,1396,2,11500000000,1,1,1,7,101355096.03907533,9628734123.712156
130,sattarkhan,1403,3,13500000000,1,1,1,5,101355096.03907533,13176162485.079792
60,sattarkhan,1380,1,4850000000,0,0,1,1,101355096.03907533,6081305762.34452
126,sattarkhan,1390,3,13640000000,1,1,1,1,101355096.03907533,12770742100.923492
100,sattarkhan,1402,2,11200000000,1,1,1,4,101355096.03907533,10135509603.907534
130,sattarkhan,1395,3,14500000000,1,1,1,4,101355096.03907533,13176162485.079792
148,sattarkhan,1400,3,17000000000,1,1,1,3,101355096.03907533,15000554213.78315
60,sattarkhan,1393,1,6150000000,1,1,1,3,101355096.03907533,6081305762.34452
88,sattarkhan,1396,2,10200000000,1,1,1,1,101355096.03907533,8919248451.43863
78,sattarkhan,1403,2,9100000000,1,1,1,1,101355096.03907533,7905697491.047875
87,sattarkhan,1382,2,5150000000,0,0,1,2,101355096.03907533,8817893355.399553
75,sattarkhan,1403,2,7000000000,1,1,1,1,101355096.03907533,7601632202.93065
135,sattarkhan,1402,3,14750000000,1,1,1,2,101355096.03907533,13682937965.27517
97,sattarkhan,1378,2,8500000000,1,1,1,2,101355096.03907533,9831444315.790306
64,khani-abad-no,1385,2,2200000000,0,0,0,4,58597607.86735662,3750246903.5108237
64,khani-abad-no,1385,1,3145000000,0,0,1,1,58597607.86735662,3750246903.5108237
83,khani-abad-no,1384,2,3800000000,0,0,1,2,58597607.86735662,4863601452.9906
80,khani-abad-no,1403,2,5850000000,1,1,1,2,58597607.86735662,4687808629.38853
114,khani-abad-no,1402,2,7860000000,1,1,0,3,58597607.86735662,6680127296.8786545
44,khani-abad-no,1380,1,2470000000,0,0,1,2,58597607.86735662,2578294746.1636915
147,khani-abad-no,1403,3,10500000000,1,1,0,4,58597607.86735662,8613848356.501423
76,khani-abad-no,1379,2,2500000000,0,0,1,1,58597607.86735662,4453418197.919104
67,khani-abad-no,1392,1,4380000000,1,1,1,4,58597607.86735662,3926039727.1128936
39,khani-abad-no,1383,1,1850000000,0,0,0,4,58597607.86735662,2285306706.826908
40,khani-abad-no,1380,1,2000000000,0,0,0,4,58597607.86735662,2343904314.694265
118,khani-abad-no,1403,2,8440000000,1,1,1,3,58597607.86735662,6914517728.348082
70,khani-abad-no,1386,2,3250000000,0,0,1,3,58597607.86735662,4101832550.7149634
100,khani-abad-no,1403,2,7150000000,1,1,0,2,58597607.86735662,5859760786.735662
130,khani-abad-no,1403,3,8600000000,1,1,0,2,58597607.86735662,7617689022.756361
72,khani-abad-no,1393,2,4550000000,1,0,1,4,58597607.86735662,4219027766.4496765
70,khani-abad-no,1383,2,2220000000,0,0,1,4,58597607.86735662,4101832550.7149634
99,khani-abad-no,1403,2,7079000000,1,1,0,2,58597607.86735662,5801163178.868305
100,khani-abad-no,1403,2,7000000000,1,1,0,1,58597607.86735662,5859760786.735662
73,khani-abad-no,1386,1,3700000000,0,0,0,1,58597607.86735662,4277625374.3170333
50,khani-abad-no,1390,1,3100000000,1,1,1,4,58597607.86735662,2929880393.367831
73,jamalzadeh,1375,2,4830000000,0,0,0,3,81303568.51429807,5935160501.543758
105,jamalzadeh,1391,4,8900000000,1,1,1,3,81303568.51429807,8536874694.001297
100,jamalzadeh,1403,2,11000000000,1,1,1,4,81303568.51429807,8130356851.429807
55,jamalzadeh,1380,1,4800000000,0,0,0,1,81303568.51429807,4471696268.286394
63,jamalzadeh,1394,2,6100000000,1,1,1,3,81303568.51429807,5122124816.400778
68,jamalzadeh,1384,1,5200000000,0,1,1,0,81303568.51429807,5528642658.972268
75,jamalzadeh,1403,2,7950000000,1,1,1,1,81303568.51429807,6097767638.572355
39,jamalzadeh,1381,1,3150000000,0,0,1,2,81303568.51429807,3170839172.057625
63,jamalzadeh,1385,2,4200000000,0,0,1,2,81303568.51429807,5122124816.400778
70,jamalzadeh,1403,2,7700000000,1,1,1,3,81303568.51429807,5691249796.000865
91,jamalzadeh,1402,2,9400000000,1,1,1,1,81303568.51429807,7398624734.801124
99,jamalzadeh,1398,2,8950000000,1,1,1,4,81303568.51429807,8049053282.915508
101,jamalzadeh,1403,2,10800000000,1,1,1,4,81303568.51429807,8211660419.944105
61,jamalzadeh,1381,2,3820000000,0,0,0,3,81303568.51429807,4959517679.372182
90,jamalzadeh,1371,2,4600000000,0,0,1,1,81303568.51429807,7317321166.286826
101,bagh-feyz,1384,2,7790000000,1,1,1,3,106018269.81879498,10707845251.698294
69,bagh-feyz,1388,2,6800000000,1,1,1,4,106018269.81879498,7315260617.496854
82,bagh-feyz,1400,2,9230000000,1,1,1,2,106018269.81879498,8693498125.141188
78,bagh-feyz,1383,2,7500000000,1,1,1,3,106018269.81879498,8269425045.866009
101,bagh-feyz,1395,2,12500000000,1,1,1,3,106018269.81879498,10707845251.698294
